date,P_1,P_2,P_3,P_4,P_5,P_6,Con,,,,
2015-02-07 10:29:28,454,431.1333333,417.3333333,492.2666667,468,558.31,1,,,,
2015-02-07 10:29:31,506.3333333,440.8,412.3333333,446.3333333,508,508.71,1,,,,
2015-02-07 10:29:34,519.3333333,484.1066667,449.3333333,492.7,530.3333333,561.72,1,,,,
2015-02-07 10:29:37,496.6666667,465.16,434.3333333,522.6,537,594.89,1,,,,
2015-02-07 10:29:40,503,448.1466667,421.6666667,490.5333333,539.6666667,523.28,1,,,,
2015-02-07 10:29:43,548,479.8533333,472.6666667,505.2666667,527,527,1,,,,
2015-02-07 10:29:46,564.3333333,468.64,470.3333333,569.8333333,398.6666667,513.05,1,,,,
2015-02-07 10:29:49,582,455.4933333,444.3333333,515.2333333,478.3333333,559.55,1,,,,
2015-02-07 10:29:52,592.6666667,469.8,478.6666667,537.3333333,560.3333333,478.95,1,,,,
2015-02-07 10:29:55,542.3333333,438.48,506,544.2666667,512.3333333,488.25,1,,,,
2015-02-07 10:29:58,502,453.9466667,465,477.1,518.3333333,534.13,1,,,,
2015-02-07 10:30:01,250.6666667,470.5733333,462,492.7,546.6666667,491.97,1,,,,
2015-02-07 10:30:04,507,456.2666667,481,563.7666667,492,524.83,1,,,,
2015-02-07 10:30:07,567,448.1466667,486,526.0666667,518,521.42,1,,,,
2015-02-07 10:30:10,625,450.8533333,470.3333333,552.5,549.3333333,510.88,1,,,,
2015-02-07 10:30:13,621.6666667,466.32,504.6666667,568.1,492,470.27,1,,,,
2015-02-07 10:30:16,612,455.88,482.3333333,546.4333333,460.6666667,513.67,1,,,,
2015-02-07 10:30:19,604.3333333,463.2266667,400.6666667,541.6666667,505.6666667,484.84,1,,,,
2015-02-07 10:30:22,608.6666667,476.3733333,392.3333333,621.4,544.3333333,370.14,1,,,,
2015-02-07 10:30:25,554.3333333,484.1066667,509.6666667,549.4666667,555.6666667,592.1,1,,,,
2015-02-07 10:30:28,520.3333333,490.68,688.6666667,546.4333333,418,543.12,1,,,,
2015-02-07 10:30:31,629.3333333,476.3733333,486.3333333,558.1333333,437.6666667,474.3,1,,,,
2015-02-07 10:30:34,567.6666667,446.6,455,546.4333333,532.3333333,461.9,1,,,,
2015-02-07 10:30:37,565.6666667,447.76,477.6666667,544.7,524,517.08,1,,,,
2015-02-07 10:30:40,569.6666667,484.88,499.3333333,519.5666667,519.3333333,603.57,1,,,,
2015-02-07 10:30:43,550,479.08,504.6666667,445.0333333,472,463.14,1,,,,
2015-02-07 10:30:46,559.6666667,481.0133333,500,487.9333333,463.6666667,538.47,1,,,,
2015-02-07 10:30:49,565.6666667,480.24,492.3333333,557.2666667,523.3333333,539.09,1,,,,
2015-02-07 10:30:52,590.3333333,482.56,474,497.4666667,528,528.86,1,,,,
2015-02-07 10:30:55,576.3333333,502.28,493.6666667,474.0666667,521.6666667,566.99,1,,,,
2015-02-07 10:30:58,575,482.56,518.3333333,511.7666667,520.3333333,529.79,1,,,,
2015-02-07 10:31:01,631.3333333,469.0266667,482,501.8,528.6666667,431.21,1,,,,
2015-02-07 10:31:04,594.3333333,473.28,457.3333333,500.9333333,517.3333333,570.09,1,,,,
2015-02-07 10:31:07,580.3333333,493.7733333,417.6666667,553.8,522.6666667,463.45,1,,,,
2015-02-07 10:31:10,551,492.2266667,378.6666667,507.4333333,534.3333333,503.44,1,,,,
2015-02-07 10:31:13,488.6666667,483.72,464.3333333,495.3,521.6666667,499.41,1,,,,
2015-02-07 10:31:16,601.3333333,481.0133333,492.3333333,505.7,517.6666667,506.23,1,,,,
2015-02-07 10:31:19,553.6666667,495.32,479.3333333,542.1,530,499.72,1,,,,
2015-02-07 10:31:22,587,480.24,502,539.0666667,531.6666667,489.8,1,,,,
2015-02-07 10:31:25,611.3333333,462.84,478.3333333,508.7333333,514.6666667,541.57,1,,,,
2015-02-07 10:31:28,554.6666667,454.72,466.3333333,536.0333333,521.6666667,510.26,1,,,,
2015-02-07 10:31:31,523.6666667,441.5733333,476,516.9666667,510.3333333,529.17,1,,,,
2015-02-07 10:31:34,563,442.3466667,465.6666667,514.8,512,550.25,1,,,,
2015-02-07 10:31:37,545,452.7866667,424.6666667,538.2,516,494.14,1,,,,
2015-02-07 10:31:40,557.3333333,455.88,477,536.4666667,527.3333333,474.92,1,,,,
2015-02-07 10:31:43,546,451.24,508,546.4333333,496.6666667,549.63,1,,,,
2015-02-07 10:31:46,553.6666667,444.28,499,506.1333333,317.3333333,509.33,1,,,,
2015-02-07 10:31:49,559.6666667,452.0133333,489.3333333,477.5333333,389.6666667,503.75,1,,,,
2015-02-07 10:31:52,576,419.1466667,504.6666667,539.5,409,469.65,1,,,,
2015-02-07 10:31:55,583.6666667,448.1466667,511,500.5,499,539.09,1,,,,
2015-02-07 10:31:58,596.3333333,453.1733333,517,440.2666667,496.3333333,549.63,1,,,,
2015-02-07 10:32:01,565,455.88,496,462.8,505.3333333,510.88,1,,,,
2015-02-07 10:32:04,606,457.8133333,487,487.9333333,518.6666667,511.81,1,,,,
2015-02-07 10:32:07,547.6666667,456.2666667,503.6666667,503.5333333,459,584.35,1,,,,
2015-02-07 10:32:10,489.3333333,454.3333333,480.6666667,503.5333333,406,527.62,1,,,,
2015-02-07 10:32:13,563,467.0933333,472.6666667,526.5,518,570.09,1,,,,
2015-02-07 10:32:16,560.6666667,488.7466667,462.6666667,524.7666667,541.3333333,536.92,1,,,,
